c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
3.82,0.622949,6.132123175,0.621896,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.84,0.626203,6.132196748,0.625152,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.86,0.629457,6.132269559,0.628408,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.88,0.632711,6.132341622,0.631664,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.9,0.635964,6.13242259,0.63492,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.92,0.639218,6.13249314,0.638176,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.94,0.642472,6.132562976,0.641432,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.96,0.645726,6.132632107,0.644688,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.98,0.64898,6.132700545,0.647944,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4,0.652234,6.132768301,0.6512,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.02,0.655488,6.132835384,0.654456,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.04,0.658742,6.132901804,0.657712,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.06,0.661996,6.132967571,0.660968,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.08,0.66525,6.133032694,0.664224,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.1,0.668504,6.133097184,0.66748,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.12,0.671758,6.133161049,0.670736,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.14,0.675012,6.133224298,0.673992,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.16,0.678266,6.133286941,0.677248,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.18,0.68152,6.133348985,0.680504,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.2,0.684774,6.133410439,0.68376,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.22,0.688027,6.133480227,0.687016,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.24,0.691281,6.133540485,0.690272,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.26,0.694535,6.133600179,0.693528,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.28,0.697789,6.133659315,0.696784,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.3,0.701043,6.133717903,0.70004,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.32,0.704297,6.13377595,0.703296,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.34,0.707551,6.133833462,0.706552,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.36,0.710805,6.133890448,0.709808,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.38,0.714059,6.133946915,0.713064,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.4,0.717313,6.134002869,0.71632,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.42,0.720566,6.134066831,0.719576,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.44,0.72382,6.134121743,0.722832,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.46,0.727074,6.134176164,0.726088,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.48,0.730328,6.134230099,0.729344,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
4.5,0.733582,6.134283557,0.7326,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
